,Player,Team,Goals,Assists,Played,Goalsx90,MinsPerGoal,TotalShots,Conversion,Accuracy
0,,Erling HaalandHaalandManchester CityMan City,14,4,14,1.05,86,47,30%,62%
1,,Mohamed SalahSalahLiverpoolLiverpool,10,6,14,0.73,123,34,29%,53%
2,,Son Heung-minSon Heung-minTottenham HotspurTottenham,9,2,14,0.70,129,25,36%,72%
3,,Ollie WatkinsWatkinsAston VillaAston Villa,8,6,14,0.59,153,34,24%,53%
4,,Jarrod BowenBowenWest Ham UnitedWest Ham,8,1,13,0.62,146,28,29%,61%
5,,Hwang Hee-chanHwang Hee-chanWolverhampton WanderersWolves,7,2,14,0.66,136,19,37%,42%
6,,Dominic SolankeSolankeAFC BournemouthBournemouth,7,1,14,0.50,179,34,21%,44%
7,,Callum WilsonWilsonNewcastle UnitedNewcastle,7,0,10,1.31,69,20,35%,75%
8,,Alexander IsakIsakNewcastle UnitedNewcastle,7,0,10,0.95,95,17,41%,71%
9,,Anthony GordonGordonNewcastle UnitedNewcastle,6,3,13,0.51,177,19,32%,68%
10,,Bryan MbeumoMbeumoBrentfordBrentford,6,3,14,0.43,208,33,18%,48%
11,,Nicolas JacksonJacksonChelseaChelsea,6,1,13,0.55,165,27,22%,59%
12,,Evan FergusonFergusonBrighton & Hove AlbionBrighton,6,0,13,0.72,125,20,30%,75%
13,,Odsonne ÉdouardÉdouardCrystal PalaceCrystal Palace,6,0,13,0.49,186,23,26%,65%
14,,Bukayo SakaSakaArsenalArsenal,5,5,13,0.40,225,17,29%,71%
15,,Douglas LuizDouglas LuizAston VillaAston Villa,5,2,14,0.37,241,13,38%,62%
16,,João PedroJoão PedroBrighton & Hove AlbionBrighton,5,1,14,0.66,137,12,42%,58%
17,,Raheem SterlingSterlingChelseaChelsea,5,1,14,0.39,229,18,28%,56%
18,,Eddie NketiahNketiahArsenalArsenal,5,0,14,0.55,164,21,24%,38%
19,,Julián ÁlvarezÁlvarezManchester CityMan City,4,5,14,0.31,292,26,15%,54%
20,,Darwin NúñezNúñezLiverpoolLiverpool,4,4,13,0.47,194,34,12%,50%
21,,Leon BaileyBaileyAston VillaAston Villa,4,3,12,0.78,115,12,33%,42%
22,,Phil FodenFodenManchester CityMan City,4,3,14,0.33,271,18,22%,72%
23,,Taiwo AwoniyiAwoniyiNottingham ForestNottm Forest,4,2,10,0.54,168,11,36%,45%
24,,Cole PalmerPalmerChelseaChelsea,4,2,12,0.51,176,16,25%,56%
